"Date","Price","Open","High","Low","Vol.","Change %"
"02/23/2024","125.61","126.60","126.79","125.29","4.05M","-0.55%"
"02/22/2024","126.30","126.66","126.97","126.11","6.03M","0.10%"
"02/21/2024","126.18","126.15","126.20","125.50","4.66M","-0.01%"
"02/20/2024","126.19","124.59","126.19","124.58","6.84M","0.84%"
"02/19/2024","125.14","124.50","125.22","124.29","4.11M","0.21%"
"02/16/2024","124.88","124.57","125.28","123.85","9.64M","0.66%"
"02/15/2024","124.06","123.58","124.06","123.16","3.31M","0.67%"
"02/14/2024","123.23","123.90","123.90","122.93","6.78M","-0.73%"
"02/09/2024","124.13","124.57","125.20","123.82","7.63M","-0.31%"
"02/08/2024","124.51","126.04","126.27","124.16","4.88M","-1.22%"
"02/07/2024","126.05","126.35","126.45","125.61","5.31M","-0.65%"
"02/06/2024","126.88","124.31","126.88","124.31","4.91M","2.44%"
"02/05/2024","123.86","123.57","124.06","122.68","3.72M","0.44%"
"02/02/2024","123.32","124.79","125.15","122.90","9.01M","-1.15%"
"02/01/2024","124.76","124.14","124.76","123.50","5.75M","0.65%"
"01/31/2024","123.95","123.67","125.81","123.67","8.70M","0.31%"
"01/30/2024","123.57","124.35","124.51","123.34","7.60M","-0.95%"
"01/29/2024","124.75","124.82","125.29","124.08","3.27M","-0.26%"
"01/26/2024","125.08","124.51","125.44","124.05","3.19M","0.50%"
"01/25/2024","124.46","124.10","124.95","124.07","3.25M","0.40%"
"01/24/2024","123.97","125.20","125.66","123.91","4.22M","-0.47%"
"01/23/2024","124.55","123.41","124.55","123.25","7.16M","1.51%"
"01/22/2024","122.70","123.80","124.12","122.17","5.61M","-0.92%"
"01/19/2024","123.84","123.89","124.09","122.80","11.00M","0.23%"
"01/18/2024","123.56","125.05","125.15","123.56","6.16M","-0.78%"
"01/17/2024","124.53","125.15","125.49","124.50","7.95M","-0.77%"
"01/16/2024","125.49","126.90","127.04","125.36","8.01M","-1.82%"
"01/15/2024","127.82","126.61","127.82","126.43","3.42M","0.46%"
"01/12/2024","127.23","126.80","128.07","126.60","4.54M","0.33%"
"01/11/2024","126.81","127.02","127.44","126.07","6.29M","-0.10%"
"01/10/2024","126.94","127.48","127.78","126.64","5.96M","-0.51%"
"01/09/2024","127.59","127.82","127.99","127.33","4.40M","-0.76%"
"01/08/2024","128.57","127.48","128.62","127.15","4.04M","0.25%"
"01/05/2024","128.25","127.08","128.75","126.71","3.02M","0.71%"
"01/04/2024","127.35","128.86","128.86","127.17","6.08M","-1.27%"
"01/03/2024","128.99","128.74","129.70","128.36","6.30M","0.18%"
"01/02/2024","128.76","129.80","129.89","128.21","4.39M","-1.25%"
"12/28/2023","130.39","129.86","130.52","129.86","3.45M","-0.05%"
"12/27/2023","130.46","129.55","130.46","129.42","5.04M","0.62%"
"12/26/2023","129.65","129.02","129.74","129.02","6.02M","0.55%"
"12/22/2023","128.94","128.51","129.17","128.21","2.84M","0.46%"
"12/21/2023","128.35","127.69","128.40","127.58","4.75M","1.21%"
"12/20/2023","126.82","127.92","128.45","126.78","3.88M","-0.96%"
"12/19/2023","128.05","127.56","128.10","127.30","3.17M","0.61%"
"12/18/2023","127.27","126.85","127.54","126.62","3.28M","0.78%"
"12/15/2023","126.28","127.20","127.78","126.00","5.59M","-0.47%"
"12/14/2023","126.88","127.00","127.30","126.52","8.21M","0.60%"
"12/13/2023","126.12","122.68","126.12","122.50","6.40M","2.87%"
"12/12/2023","122.60","123.21","123.58","122.22","3.63M","-0.41%"
"12/11/2023","123.11","122.90","123.35","122.66","3.17M","-0.16%"
"12/08/2023","123.31","122.54","123.50","121.80","4.75M","0.83%"
"12/07/2023","122.29","122.19","122.80","121.79","2.85M","0.47%"
"12/06/2023","121.72","123.58","123.77","121.72","2.84M","-1.05%"
"12/05/2023","123.01","122.93","123.68","122.66","2.88M","0.04%"
"12/04/2023","122.96","123.50","123.96","122.83","3.77M","-1.03%"
"12/01/2023","124.24","123.42","124.37","122.85","4.62M","0.54%"
"11/30/2023","123.57","122.83","123.60","122.37","4.78M","1.06%"
"11/29/2023","122.27","123.20","123.48","122.17","4.26M","-0.37%"
"11/28/2023","122.72","121.89","123.10","121.59","3.76M","0.64%"
"11/27/2023","121.94","122.03","122.13","121.12","4.05M","0.23%"
"11/24/2023","121.66","122.14","122.48","121.62","5.17M","-0.95%"
"11/23/2023","122.83","122.12","122.96","121.95","4.78M","0.56%"
"11/22/2023","122.15","122.28","123.05","121.70","5.29M","0.32%"
"11/21/2023","121.76","121.67","122.11","121.18","6.53M","-0.40%"
"11/20/2023","122.25","121.44","122.38","121.15","7.05M","0.95%"
"11/17/2023","121.10","121.20","121.60","120.72","7.39M","0.12%"
"11/16/2023","120.96","119.61","120.96","119.49","7.99M","1.13%"
"11/14/2023","119.61","117.18","120.00","117.18","8.55M","2.39%"
"11/13/2023","116.82","116.50","116.88","116.19","3.20M","-0.16%"
"11/10/2023","117.01","115.91","117.19","115.91","5.24M","1.59%"
"11/09/2023","115.18","115.99","116.64","114.79","9.17M","-0.29%"
"11/08/2023","115.52","115.76","116.34","114.84","4.24M","-0.13%"
"11/07/2023","115.67","114.41","115.97","114.38","4.10M","0.75%"
"11/06/2023","114.81","115.00","115.11","114.42","5.35M","0.05%"
"11/03/2023","114.75","113.70","114.90","113.45","7.90M","2.86%"
"11/01/2023","111.56","110.14","111.96","110.14","5.60M","1.77%"
"10/31/2023","109.62","109.19","110.15","108.68","3.89M","0.61%"
"10/30/2023","108.96","110.30","110.73","108.81","4.51M","-0.81%"
"10/27/2023","109.85","111.54","111.82","109.42","4.37M","-1.39%"
"10/26/2023","111.40","109.63","111.68","109.57","4.14M","1.87%"
"10/25/2023","109.35","110.52","110.63","109.19","3.56M","-0.81%"
"10/24/2023","110.24","110.30","110.75","109.33","3.83M","0.81%"
"10/23/2023","109.35","109.10","110.25","108.77","4.23M","-0.14%"
"10/20/2023","109.50","110.30","110.63","109.08","7.30M","-0.99%"
"10/19/2023","110.60","110.46","111.63","110.46","6.44M","0.21%"
"10/18/2023","110.37","111.66","111.80","110.37","5.73M","-1.75%"
"10/17/2023","112.34","112.18","113.35","112.01","4.32M","-0.53%"
"10/16/2023","112.94","113.00","113.35","112.48","2.20M","0.79%"
"10/13/2023","112.06","113.15","113.44","112.06","3.43M","-1.27%"
"10/11/2023","113.50","113.31","113.55","112.66","2.99M","0.33%"
"10/10/2023","113.13","112.00","113.36","111.99","3.91M","1.24%"
"10/09/2023","111.74","110.18","111.74","109.95","3.16M","0.98%"
"10/06/2023","110.66","108.90","110.99","108.19","3.82M","0.83%"
"10/05/2023","109.75","110.06","110.86","109.27","4.17M","-0.39%"
