"Date","Price","Open","High","Low","Vol.","Change %"
"05/24/2024","464.75","464.50","466.75","460.75","","0.16%"
"05/23/2024","464.00","461.25","467.25","458.50","166.86K","0.60%"
"05/22/2024","461.25","458.50","463.25","458.00","175.90K","0.71%"
"05/21/2024","458.00","460.00","461.25","455.00","168.07K","-0.54%"
"05/20/2024","460.50","452.75","463.50","452.25","185.09K","1.77%"
"05/17/2024","452.50","457.25","460.50","451.00","217.85K","-0.98%"
"05/16/2024","457.00","462.25","465.25","456.00","200.53K","-1.19%"
"05/15/2024","462.50","467.75","473.25","461.50","222.34K","1.93%"
"05/14/2024","453.75","461.00","461.00","453.25","0.03K","-1.04%"
"05/13/2024","458.50","453.50","461.50","453.50","0.32K","0.60%"
"05/10/2024","455.75","443.25","455.50","443.25","0.32K","2.94%"
"05/09/2024","442.75","447.25","447.50","441.00","0.57K","-0.62%"
"05/08/2024","445.50","452.75","452.75","444.25","0.63K","-1.82%"
"05/07/2024","453.75","457.00","459.50","453.75","1.02K","-0.71%"
"05/06/2024","457.00","447.00","458.50","444.50","1.91K","-0.71%"
"05/03/2024","460.25","459.50","468.00","457.25","303.31K","0.11%"
"05/02/2024","459.75","450.00","460.50","449.75","240.17K","2.00%"
"05/01/2024","450.75","446.75","451.50","443.75","151.38K","0.90%"
"04/30/2024","446.75","449.00","450.00","444.50","149.01K","-0.56%"
"04/29/2024","449.25","450.00","451.25","445.50","211.47K","-0.17%"
"04/26/2024","450.00","451.75","454.00","449.25","225.50K","2.04%"
