"Date","Price","Open","High","Low","Vol.","Change %"
"04/02/2024","90.79","92.72","92.89","90.70","","-2.12%"
"04/01/2024","92.76","91.57","92.88","91.54","12.91K","1.51%"
"03/28/2024","91.38","90.98","91.97","90.51","20.17K","0.67%"
"03/27/2024","90.77","93.41","93.41","90.56","21.78K","-2.83%"
"03/26/2024","93.41","92.03","94.27","92.03","18.48K","1.51%"
"03/25/2024","92.02","91.69","92.31","90.98","16.37K","0.54%"
"03/22/2024","91.53","92.22","92.85","91.42","15.28K","-0.74%"
"03/21/2024","92.21","92.50","93.50","91.84","16.11K","0.03%"
"03/20/2024","92.18","93.42","93.47","91.81","16.31K","-1.24%"
"03/19/2024","93.34","94.57","94.65","92.19","24.59K","-1.30%"
"03/18/2024","94.57","93.88","96.20","93.80","16.25K","0.67%"
"03/15/2024","93.94","93.63","94.55","93.26","14.92K","0.49%"
"03/14/2024","93.48","95.05","95.54","93.20","22.30K","-1.50%"
"03/13/2024","94.90","95.23","96.23","94.52","13.69K","-0.35%"
"03/12/2024","95.23","95.06","95.77","94.05","20.01K","0.18%"
"03/11/2024","95.06","94.86","97.53","94.55","23.70K","-0.23%"
"03/08/2024","95.28","99.20","101.50","95.28","30.10K","-4.03%"
"03/07/2024","99.28","94.86","99.28","94.86","27.15K","0.14%"
"03/06/2024","99.14","94.40","97.70","94.40","22.02K","1.06%"
"03/05/2024","98.10","94.54","95.35","93.14","23.01K","-0.35%"
"03/04/2024","98.44","99.00","99.00","99.00","0.00K","3.00%"
"03/01/2024","95.57","99.50","100.30","95.57","27.85K","-4.02%"
"02/29/2024","99.57","100.50","100.50","97.25","36.02K","-1.49%"
"02/28/2024","101.08","98.95","103.80","98.35","54.20K","2.31%"
"02/27/2024","98.80","94.65","98.80","94.54","33.25K","4.22%"
"02/26/2024","94.80","93.36","94.89","92.50","21.83K","1.40%"
"02/23/2024","93.49","94.26","94.66","92.60","18.25K","-1.03%"
"02/22/2024","94.46","92.95","94.90","92.66","24.13K","1.32%"
"02/21/2024","93.23","91.50","94.13","91.18","28.88K","1.68%"
"02/20/2024","91.69","94.25","94.29","90.84","43.37K","-2.89%"
"02/16/2024","94.42","95.33","96.42","93.52","24.17K","-0.93%"
"02/15/2024","95.31","94.18","95.97","93.70","28.78K","0.99%"
"02/14/2024","94.38","92.05","95.28","91.37","48.18K","2.52%"
"02/13/2024","92.06","90.95","93.22","90.84","36.81K","0.83%"
"02/12/2024","91.30","91.99","92.44","90.15","45.05K","-1.00%"
"02/09/2024","92.22","89.90","92.38","89.22","42.46K","2.83%"
"02/08/2024","89.68","89.18","90.00","88.99","27.08K","0.43%"
"02/07/2024","89.30","88.33","89.54","88.08","26.61K","1.02%"
"02/06/2024","88.40","87.88","88.65","87.88","15.72K","0.42%"
"02/05/2024","88.03","87.95","88.40","87.57","22.65K","-0.14%"
"02/02/2024","88.15","87.48","88.22","86.81","20.08K","0.58%"
"02/01/2024","87.64","86.39","88.05","86.00","21.57K","1.42%"
"01/31/2024","86.41","86.03","86.62","85.76","12.78K","0.41%"
"01/30/2024","86.06","85.57","86.17","84.97","15.08K","0.57%"
"01/29/2024","85.57","85.63","86.41","85.15","15.42K","-0.07%"
"01/26/2024","85.63","86.98","87.07","85.42","16.09K","-1.55%"
"01/25/2024","86.98","86.59","87.03","86.21","14.08K","0.44%"
"01/24/2024","86.60","85.78","86.76","85.47","16.26K","0.92%"
"01/23/2024","85.81","85.86","85.91","85.22","19.66K","-0.06%"
"01/22/2024","85.86","84.84","86.00","84.50","18.65K","1.14%"
"01/19/2024","84.89","83.39","85.53","83.18","23.04K","1.80%"
"01/18/2024","83.39","82.78","83.46","82.64","8.74K","0.85%"
