"Date","Price","Open","High","Low","Vol.","Change %"
"04/23/2024","443.00","439.60","443.62","438.50","","0.74%"
"04/22/2024","439.75","432.25","441.00","431.00","164.54K","1.44%"
"04/19/2024","433.50","427.25","434.00","426.75","163.57K","1.58%"
"04/18/2024","426.75","429.50","431.00","426.25","180.78K","-0.81%"
"04/17/2024","430.25","431.00","433.00","429.50","139.24K","-0.17%"
"04/16/2024","431.00","431.25","432.25","428.50","148.12K","-0.12%"
"04/15/2024","431.50","434.50","435.00","430.25","152.25K","-0.92%"
"04/12/2024","435.50","428.25","437.50","427.00","202.05K","1.57%"
"04/11/2024","428.75","434.00","437.50","427.50","250.70K","-1.27%"
"04/10/2024","434.25","431.00","435.75","430.75","210.26K","0.70%"
"04/09/2024","431.25","435.00","435.75","429.75","219.30K","-0.98%"
"04/08/2024","435.50","433.75","437.50","431.50","215.99K","0.29%"
"04/05/2024","434.25","435.00","438.50","432.25","192.94K","-0.23%"
"04/04/2024","435.25","432.25","436.00","429.75","153.81K","0.81%"
"04/03/2024","431.75","428.25","433.00","425.75","187.68K","1.23%"
"04/02/2024","426.50","435.75","436.75","424.50","235.50K","-2.07%"
"04/01/2024","435.50","441.75","442.00","432.25","200.47K","-1.53%"
"03/29/2024","442.25","442.25","442.25","442.25","","0.06%"
"03/28/2024","442.00","426.75","448.00","426.00","360.09K","3.57%"
"03/27/2024","426.75","432.00","432.25","426.25","165.19K","-1.33%"
"03/26/2024","432.50","437.25","440.75","432.00","155.31K","-1.20%"
"03/25/2024","437.75","439.00","441.25","437.00","118.61K","-0.34%"
"03/22/2024","439.25","440.25","441.50","436.00","132.90K","-0.34%"
"03/21/2024","440.75","439.00","445.75","437.50","158.79K","0.40%"
"03/20/2024","439.00","439.00","439.50","435.50","131.97K","-0.11%"
"03/19/2024","439.50","436.50","440.00","435.00","115.12K","0.80%"
"03/18/2024","436.00","437.00","440.50","434.00","121.82K","-0.17%"
